text,label,is the label correct?
Go around the bottom of teh tiger and travel accross to the island with the parrot and elephant,eng,
Understood. I am heading down the path towards the fire. I see a red mushroom to my right and a blue car further south. What's the next step?,eng,
"Ok, i did it, i'm next to the dog",eng,
"Sure thing, i moved!",eng,
hi there! que comience el juego!!,mix,
"Hi, lets play!",eng,
despues tienes que ir a la isla con un parrot and go around the parrot between the elephant,mix,
depues tienes que cruzar the rocks a la isla con un sapo,mix,
"skirt around him on the left, take a soft left then right, still heading south. you got this!",eng,
"if i take about five or six steps to the left, i'm with the tiger",eng,
"Great job! Now, we need to go over the snake. Be careful as you cross it and continue on the path. Let me know once you've successfully crossed the snake.",eng,
a couple biking and a couple reading the newspaper,eng,
yes,eng,
there's a path leading to a small island with a tiger on it to my left. where to now?,eng,
through the aligator,eng,
Welcome!,eng,
im outside of the car without touching it,eng,
"¡genial! entonces, estoy al inicio mirando hacia un palo que lleva a una isla con un tigre",es,
ok im now behind the cyclists,eng,
yes,eng,
"Well done! Now, we need to navigate between the big rock and the small rock. Describe what you see when you reach the water.",eng,
Yes,eng,
Headed west along rock,eng,
"Great! From the white dog, I want you to take a few steps to the left (west). What do you see there?",eng,
"awesome! now, tu necesitas dar una vuelta completa",mix,
"you're welcome! now, see that green bush after you cross the river? don't walk on it",eng,
"yes, go over the fire and under past the bottom of mushrooms toward car",eng,
done,eng,
"Go right below the parrot, cross the stones and head to the frog island. ",eng,
"Head west, cross the rocks to just below the giraffe's feet.",eng,
another log,eng,
"Great progress! Now, circle around the red tent in an arc and continue heading south towards the sea. When you reach the shore, take a right turn (west) and go below a red kayak. Let me know when you're below the red kayak.",eng,
"Yes, we are done with the game. You have successfully completed the path and reached the final destination. Thank you for playing and feel free to reach out if you have any other questions or if there's anything else I can assist you with. Have a great day!",eng,
head south like you're chasing the sunshine. spot another white dog chilling with a picnic? great job!,eng,
it shouldn't be too close i promise!,eng,
done,eng,
ok,eng,
Okay done,eng,
"on it! walked right past the telescope, heading west towards the cabin now",eng,
OK,eng,
Great! You have moved left. Now you should be on the island with the tiger. What do you see on the map now?,eng,
"Excellent! Now that you are at the flower stand, turn left (west) and go below the stand. As you continue, you will reach a big bridge with two people riding a bicycle. Pass the bridge to the west. Can you describe what you see after crossing the bridge?",eng,
yes head south and go between the rocks and the bushes and go around the do onto the road,eng,
i am there,eng,
a table with flowers and cats in boxes,eng,
"No hay problema, puedo continuar en inglés. Let's start at the top of the map, at the opening of a tent. Can you see the tent on the map?",mix,
"Fantastic! Now, here's a tricky part. Instead of going straight, I want you to make a right U-turn and head back west towards the fork in the trail. Can you find the fork on the map?",eng,
I can see a car is trying to cross the river,eng,
si debe empezar at the tent,mix,
"got it, or shall i play you a tune?",eng,
"Fantastic! Now, veer right and take an off-trail shortcut around the telescope. Circle around it until you reach the trail again. Let me know once you're back on the trail!",eng,
do you see the blue tent near the top,eng,
Start by taking a few steps south from the tent. Describe what you see.,eng,
"Great! You've reached a puppy. Now, turn left (east) and continue a few steps. Can you describe what you see next?",eng,
Bushes,eng,
are you still there,eng,
"Awesome! Now, go between the big rock on your left and the small rock on your right, and continue until you reach the water. Let me know when you're standing by the water.",eng,
"Great observation! Take a few steps to the south, passing by the older couple on the park bench. Now, describe what you see around you.",eng,
"As I walk west on the path, I see trees on both sides, creating a beautiful forested area. The path is well-defined and there are no other landmarks or objects in sight. I will continue walking until I reach the crossroads.",eng,
reach the crossroads and tell me what you see,eng,
once you see it let me know,eng,
once you see them let me know,eng,
go down towards the telescope,eng,
there is a cliff,eng,
"Walk south, away the campfire, and follow the trail. Stop When you reach the telescope.",eng,
"Great! I will continue straight from the snake, and I have reached the treasure chest!

*reaches the treasure chest*

Hooray! I have found the treasure chest. *finished*",eng,
bye,eng,
I'm at the top-right corner of the map. What do you see around me?,eng,
"Hi, I'm at the dalmation on the top right corner. Where do I go?",eng,
yup,eng,
south,eng,
"ok once you (hopefully) survive the alligator, you'll get to an island with big frogs, they look friendly but poisonous",eng,
I see a campfire in front of me. Should I continue towards it?,eng,
