,experiment,human_role,map,game_time,is_time_success,user_num_of_uter,user_mean_uter,user_total_uter,user_num_of_en,user_num_of_es,user_num_of_mix,user_num_of_inter_cs,% entrainment - all dialog,% entrainment - on bot inter-sentential cs,bot_num_of_uter,bot_mean_uter,bot_total_uter,bot_num_of_en,bot_num_of_es,bot_num_of_mix,bot_num_of_inter_cs,How much did you enjoy the task?,How successful do you think you were at completing the task?,dist_score
0,Alternation #4,instructor,0,274,1,6,9.833333333333334,59,6,0,0,0,1.0,0,7,27.285714285714285,191,7,0,0,0,75,82,
1,Alternation #4,navigator,1,324,1,9,10.555555555555555,95,9,0,0,0,1.0,0,10,25.5,255,10,0,0,0,61,61,0.9855072463768116
2,Alternation #4,instructor,2,132,1,5,8.4,42,5,0,0,0,1.0,0,6,22.833333333333332,137,6,0,0,0,82,85,0.9855072463768116
3,Alternation #4,navigator,3,127,1,3,5.666666666666667,17,3,0,0,0,1.0,0,2,12.5,25,2,0,0,0,14,22,2.2
4,Alternation #4,instructor,0,280,1,8,15.75,126,8,0,0,0,1.0,0,9,24.333333333333332,219,9,0,0,0,76,79,
5,Alternation #4,navigator,1,390,1,14,4.642857142857143,65,14,0,0,0,1.0,0,15,28.133333333333333,422,15,0,0,0,79,33,0.8260869565217391
6,Alternation #4,instructor,2,420,0,6,7.5,45,6,0,0,0,1.0,0,5,28.4,142,5,0,0,0,35,31,0.8260869565217391
7,Alternation #4,navigator,3,333,1,12,5.083333333333333,61,12,0,0,0,1.0,0,13,37.07692307692308,482,12,0,1,0,79,69,0.92
8,Align Last User CS,instructor,0,420,0,8,21.5,172,8,0,0,0,0.875,1.0,17,11.117647058823529,189,15,1,1,1,100,100,
9,Align Last User CS,navigator,1,420,0,10,8.3,83,10,0,0,0,1.0,0,20,13.2,264,19,0,1,0,1,2,0.9855072463768116
10,Align Last User CS,instructor,2,181,1,7,13.285714285714286,93,7,0,0,0,0.8571428571428571,1.0,15,9.6,144,14,1,0,1,100,100,0.9855072463768116
11,Align Last User CS,navigator,3,273,1,9,7.777777777777778,70,9,0,0,0,1.0,0,14,13.571428571428571,190,13,0,1,0,100,82,1.5466666666666666
12,Switch Last User CS,instructor,0,215,1,4,13.5,54,2,2,0,3,1.0,1.0,8,7.5,60,4,4,0,4,90,88,
13,Switch Last User CS,navigator,1,416,1,9,6.333333333333333,57,5,4,0,7,1.0,1.0,15,16.8,252,7,6,2,7,17,19,0.4057971014492754
14,Switch Last User CS,instructor,2,420,0,8,19.125,153,4,4,0,7,1.0,1.0,17,5.529411764705882,94,8,9,0,8,86,92,0.4057971014492754
15,Switch Last User CS,navigator,3,420,0,9,8.11111111111111,73,4,4,1,7,1.0,1.0,16,15.5,248,7,7,2,6,13,14,0.9866666666666667
16,Alternation #2,instructor,0,321,1,8,16.625,133,8,0,0,0,1.0,0,9,29.555555555555557,266,9,0,0,0,92,80,
17,Alternation #2,navigator,1,411,1,11,8.818181818181818,97,11,0,0,0,1.0,0,12,31.25,375,12,0,0,0,79,44,0.391304347826087
18,Alternation #2,instructor,2,226,1,8,13.875,111,8,0,0,0,1.0,0,9,24.0,216,9,0,0,0,90,62,0.391304347826087
19,Alternation #2,navigator,3,301,1,16,3.0,48,16,0,0,0,1.0,0,17,31.529411764705884,536,17,0,0,0,74,45,0.84
20,RB navigator #1,instructor,0,300,0,14,14.0,196,14,0,0,0,1.0,0,22,5.636363636363637,124,22,0,0,0,0,30,
21,RB navigator #1,instructor,1,172,1,11,7.181818181818182,79,11,0,0,0,1.0,0,20,5.5,110,20,0,0,0,0,0,
22,RB navigator #1,instructor,2,214,1,9,15.333333333333334,138,9,0,0,0,1.0,0,14,5.214285714285714,73,14,0,0,0,0,0,
23,RB navigator #1,instructor,3,224,1,27,3.814814814814815,103,27,0,0,0,1.0,0,53,4.9245283018867925,261,53,0,0,0,0,0,
24,Align Last User CS,instructor,0,397,1,8,6.125,49,0,8,0,0,1.0,0,15,7.933333333333334,119,0,13,2,0,100,100,
25,Align Last User CS,navigator,1,420,0,11,2.4545454545454546,27,0,4,7,0,1.0,0,17,13.705882352941176,233,0,15,2,0,100,73,0.9855072463768116
26,Align Last User CS,instructor,2,256,1,7,6.0,42,0,7,0,0,1.0,0,13,5.6923076923076925,74,0,11,2,0,100,100,0.9855072463768116
27,Align Last User CS,navigator,3,420,0,10,2.3,23,1,5,4,0,0.9,0,19,13.947368421052632,265,2,16,1,1,52,87,0.9866666666666667
28,Switch Last User CS,instructor,0,262,1,7,9.142857142857142,64,3,3,1,4,1.0,1.0,12,10.666666666666666,128,4,8,0,6,59,63,
29,Switch Last User CS,navigator,1,389,1,13,3.769230769230769,49,8,4,1,7,0.7692307692307693,0.625,20,12.0,240,7,12,1,9,67,75,0.7681159420289855
30,Switch Last User CS,instructor,2,321,1,6,16.0,96,6,0,0,0,0.16666666666666666,0,12,9.666666666666666,116,0,11,1,0,72,68,0.7681159420289855
31,Switch Last User CS,navigator,3,420,0,11,4.181818181818182,46,6,4,1,6,0.8181818181818182,0.6666666666666666,17,13.058823529411764,222,5,9,3,6,59,27,0.9866666666666667
